chapter_number,chapter_title,panel_count,full_title,description,publish_date,url,previous_chapter_url,next_chapter_url,status
1,,54,One Piece Chapter 1,Read One Piece Manga Online in High Quality,,https://w21.read-onepiece-manga.com/manga/one-piece-chapter-1/,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-2/,success
2,,23,One Piece Chapter 2,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-2/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-1/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-3/,success
3,,21,One Piece Chapter 3,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-3/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-2/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-4/,success
4,,19,One Piece Chapter 4,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-4/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-3/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-5/,success
5,,21,One Piece Chapter 5,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-5/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-4/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-6/,success
6,,22,One Piece Chapter 6,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-6/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-5/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-7/,success
7,,21,One Piece Chapter 7,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-7/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-6/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-8/,success
8,,19,One Piece Chapter 8,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-8/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-7/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-9/,success
9,,28,One Piece Chapter 9,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-9/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-8/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-10/,success
10,,24,One Piece Chapter 10,Read One Piece Manga Online in High Quality,,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-10/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-9/,https://w23.read-onepiece-manga.com/manga/one-piece-chapter-11/,success
